Started,AcresBurned,Longitude,Type,Latitude,ExtinguishedDate
2020-07-13T16:40:36Z,29667.0,-120.52193,Wildfire,36.09493,2020-07-26T19:41:00Z
2020-07-15T14:04:08Z,1485.0,-121.04401,Wildfire,36.653,2020-07-18T07:36:00Z
2020-07-15T16:44:16Z,48.0,-119.95807,Wildfire,37.42319,2020-07-18T07:58:00Z
2020-07-15T17:18:23Z,500.0,-121.33589,Wildfire,39.10112,2020-07-15T19:11:00Z
2020-07-16T18:14:18Z,253.0,-121.59374,Wildfire,37.64044,2020-07-19T13:26:00Z
2020-07-17T14:59:54Z,119.0,-116.97557,Wildfire,34.39464,2020-07-20T20:54:00Z
2020-07-18T17:18:20Z,557.0,-122.69296,Wildfire,41.79319,2020-07-28T18:21:00Z
2020-07-18T17:28:18Z,9564.0,-120.86375,Wildfire,40.420886,2020-08-17T21:07:00Z
2020-07-19T17:05:41Z,333.0,-122.792645,Wildfire,40.462621,2020-07-27T19:20:00Z
2020-07-20T14:12:25Z,22614.0,-120.923293,Wildfire,41.11037,2020-08-12T19:21:00Z
2020-07-20T15:44:53Z,100.0,-123.6986222,Wildfire,41.1849445,2020-08-18T18:09:00Z
2020-07-20T16:09:57Z,30.0,-121.604579,Wildfire,39.506597,2020-07-21T14:40:00Z
2020-07-20T18:04:37Z,75.0,-121.620238,Wildfire,37.977309,2020-07-20T11:20:00Z
2020-07-20T19:10:36Z,71.0,-117.192142,Wildfire,34.135626,2020-07-21T16:01:00Z
2020-07-20T19:15:32Z,135.0,-119.932391,Wildfire,37.118075,2020-07-21T07:18:00Z
2020-07-21T19:26:58Z,120.0,-118.711135,Wildfire,37.518879,2020-08-12T16:37:00Z
2020-07-24T07:33:21Z,83261.0,-121.477,Wildfire,41.699,2020-08-20T14:27:00Z
2020-07-24T17:32:36Z,145.0,-117.033124,Wildfire,33.93327,2020-07-25T19:42:00Z
2020-07-24T17:47:17Z,138.0,-122.359663,Wildfire,39.013591,2020-07-25T07:07:00Z
2020-07-25T18:16:54Z,250.0,-117.429598,Wildfire,34.028116,2020-07-28T07:21:00Z
2020-07-26T12:57:35Z,51.0,-121.044895,Wildfire,38.420382,2020-07-26T11:26:00Z
2020-07-27T09:28:40Z,788.0,-121.101634,Wildfire,37.083806,
2020-07-27T09:35:49Z,,-120.025872,Wildfire,39.922415,
2020-07-27T17:19:21Z,321.0,-118.72004,Wildfire,34.75844,2020-07-30T19:43:00Z
2020-07-27T18:50:25Z,25.0,-124.19954,Wildfire,40.78804,2020-07-31T09:44:00Z
2020-07-28T07:49:02Z,100.0,-116.77048,Wildfire,32.62212,
2020-07-28T14:59:38Z,3222.0,-120.00521,Wildfire,35.35146,2020-08-01T19:45:00Z
2020-07-29T17:24:17Z,185.0,-117.45479,Wildfire,34.25143,2020-08-01T07:07:00Z
2020-07-29T18:05:20Z,741.0,-121.17197,Wildfire,38.40329,2020-07-30T07:27:00Z
2020-07-30T14:40:11Z,104.0,-117.034461,Wildfire,33.934137,2020-07-31T09:03:00Z
2020-07-30T15:23:01Z,220.0,-117.889503,Wildfire,34.17363,2020-08-14T14:26:00Z
2020-07-30T16:14:47Z,233.0,-118.7933,Wildfire,35.14357,2020-07-31T08:56:00Z
2020-07-31T18:08:39Z,33424.0,-116.9617,Wildfire,33.99139,
2020-07-31T20:06:14Z,,-120.17183,Wildfire,41.52261,
2020-08-01T16:39:21Z,684.0,-121.6415,Wildfire,40.34659,2020-09-14T14:25:00Z
2020-08-01T18:04:58Z,178.0,-118.59699,Wildfire,34.51853,2020-09-14T14:25:00Z
2020-08-01T18:44:52Z,2005.0,-120.47346,Wildfire,35.43128,2020-08-09T19:17:00Z
2020-08-02T09:12:41Z,36.0,-121.103299,Wildfire,38.686478,2020-08-02T09:11:00Z
2020-08-02T15:11:20Z,52.0,-116.641846,Wildfire,33.924086,2020-08-04T15:12:00Z
2020-08-02T16:51:26Z,6882.0,-120.44811,Wildfire,40.36764,2020-08-10T11:27:00Z
2020-08-02T17:13:36Z,560.0,-122.48525,Wildfire,39.31313,2020-08-05T07:16:00Z
2020-08-02T20:49:07Z,120.0,-118.21608,Wildfire,34.04447,2020-08-04T14:34:00Z
2020-08-02T22:24:59Z,600.0,-121.38178,Wildfire,39.11307,2020-08-03T07:22:00Z
2020-08-03T15:45:29Z,200.0,-118.49731,Wildfire,34.3428,2020-08-06T13:32:00Z
2020-08-03T17:33:03Z,7760.0,-118.53361,Wildfire,35.43044,2020-08-18T17:50:00Z
2020-08-03T20:27:11Z,,-119.5795,Wildfire,34.93442,
2020-08-04T09:44:14Z,594.0,-119.2439,Wildfire,36.90933,2020-08-20T14:23:00Z
2020-08-04T17:18:17Z,322.0,-120.40457,Wildfire,35.61521,2020-08-05T07:19:00Z
2020-08-06T08:24:00Z,277.0,-118.92967,Wildfire,34.93929,2020-08-07T07:18:00Z
2020-08-06T15:37:43Z,210.0,-118.46115,Wildfire,-118.46115,2020-09-14T14:22:00Z
2020-08-10T18:31:57Z,177.0,-123.262437,Wildfire,39.82454,2020-08-12T19:15:00Z
2020-08-10T18:58:13Z,65.0,-121.318472,Wildfire,38.81111,2020-08-11T14:25:00Z
2020-08-11T07:37:23Z,285.0,-120.549595,Wildfire,40.590714,2020-08-12T16:46:00Z
2020-08-12T11:43:49Z,424.0,-119.444977,Wildfire,34.962524,2020-08-12T16:22:00Z
2020-08-12T17:13:02Z,31089.0,-118.452,Wildfire,34.679,2020-09-28T06:59:00Z
2020-08-12T19:12:15Z,183.0,-119.987565,Wildfire,35.308259,2020-08-12T11:44:00Z
2020-08-13T17:01:18Z,512.0,-121.172572,Wildfire,38.474502,2020-08-14T07:16:00Z
2020-08-13T14:49:55Z,4237.0,-117.910498,Wildfire,34.160265,2020-10-05T14:17:00Z
2020-08-13T19:03:25Z,,-120.889438,Wildfire,39.716713,
2020-08-14T17:55:25Z,110.0,-121.633994,Wildfire,39.647686,2020-08-14T19:23:00Z
2020-08-14T18:52:58Z,47029.0,-120.143473,Wildfire,39.702438,2020-08-26T06:54:00Z
2020-08-15T13:21:11Z,320.0,-120.856731,Wildfire,35.472114,2020-08-19T14:50:00Z
2020-08-15T17:00:46Z,2121.0,-120.427342,Wildfire,36.09876,
2020-08-16T07:56:39Z,20.0,-120.801074,Wildfire,35.519723,2020-08-17T19:23:00Z
2020-08-16T10:14:46Z,727.0,-122.427358,Wildfire,39.52452,2020-08-17T21:01:00Z
2020-08-16T14:56:54Z,48088.0,-121.62161,Wildfire,36.60239,
2020-08-16T20:37:26Z,1032648.0,-122.673,Wildfire,39.776,2020-11-11T10:21:44Z
2020-08-17T08:00:32Z,705.0,-121.100352,Wildfire,39.29241,2020-08-28T16:19:00Z
2020-08-17T12:31:38Z,,-119.010655,Wildfire,37.919382,2020-08-28T20:22:00Z
2020-08-17T14:16:58Z,275.0,-122.5012461,Wildfire,39.555943,2020-08-19T21:08:00Z
2020-08-17T17:08:40Z,3000.0,-118.758965,Wildfire,34.438759,
2020-08-17T20:06:44Z,14.0,-120.876546,Wildfire,38.840068,2020-08-19T18:50:00Z
2020-08-16T08:00:00Z,86509.0,-122.22275,Wildfire,37.17162,2020-09-22T19:53:00Z
2020-08-16T09:25:25Z,396624.0,-121.30435,Wildfire,37.439437,2020-10-01T10:29:00Z
2020-08-18T10:21:52Z,,-119.869,Wildfire,38.183,
2020-08-18T14:24:01Z,6901.0,-121.68181,Wildfire,36.4463,
2020-08-18T15:27:56Z,62.0,-123.013667,Wildfire,39.276,2020-08-21T08:08:00Z
2020-08-18T16:33:32Z,1783.0,-120.763258,Wildfire,38.027921,
2020-08-18T17:58:52Z,820.0,-123.2111007,Wildfire,39.8174372,2020-08-21T21:00:00Z
2020-08-17T08:00:00Z,363220.0,-122.14864,Wildfire,38.48193,2020-10-02T10:38:00Z
2020-08-17T09:12:42Z,19609.0,-122.4393,Wildfire,40.09571,2020-10-09T15:20:00Z
2020-08-19T16:44:58Z,55.0,-120.85258,Wildfire,38.03106,2020-08-19T20:16:00Z
2020-08-20T14:26:08Z,2857.0,-120.312565,Wildfire,37.813779,2020-08-30T19:14:00Z
2020-08-20T16:18:49Z,45.0,-117.328234,Wildfire,33.454896,2020-08-22T21:17:00Z
2020-08-21T14:36:08Z,143.0,-121.68465,Wildfire,37.18725,2020-08-26T17:00:00Z
2020-08-22T22:02:57Z,29570.0,-120.757,Wildfire,40.274,2020-09-09T09:00:00Z
2020-08-23T08:24:24Z,,-120.281389,Wildfire,41.028611,2020-09-16T11:18:00Z
2020-08-18T14:27:00Z,4929.0,-122.836701,Wildfire,38.018089,2020-10-02T07:21:00Z
2020-08-25T16:29:58Z,53.0,-120.1243296,Wildfire,35.4335197,
2020-08-26T08:03:48Z,567.0,-120.536,Wildfire,40.773,2020-08-31T14:19:00Z
2020-08-26T13:37:15Z,9.0,-121.10411,Wildfire,38.8825,
2020-08-28T16:21:25Z,290.0,-118.36411,Wildfire,34.65979,2020-08-30T19:27:00Z
2020-08-30T11:11:55Z,400.0,-119.88673,Wildfire,37.08053,2020-08-30T19:11:00Z
2020-09-01T09:37:58Z,,-123.12461,Wildfire,40.82126,2020-09-10T11:23:00Z
2020-09-01T12:38:11Z,,-119.568,Wildfire,38.568,
2020-09-01T17:34:38Z,13.0,-122.637037,Wildfire,39.012743,2020-09-02T07:18:00Z
2020-09-04T18:21:00Z,379895.0,-119.261175,Wildfire,37.19147,
2020-09-05T12:51:00Z,22744.0,-116.98669,Wildfire,34.08056,2020-11-16T08:00:00Z
2020-09-05T16:02:32Z,16390.0,-116.692705,Wildfire,32.765615,2020-09-24T15:30:00Z
2020-09-07T13:26:45Z,1100.0,-123.3965,Wildfire,39.4935,2020-09-14T19:38:00Z
